Gene	GSM346111	GSM346114	GSM346115	GSM346116	GSM346117	GSM346118	GSM346120	GSM346122	Mean_Expression
YBL023C	23.474	19.457	19.441	27.243	29.845	29.434	52.292	40.007	30.149125
YBL024W	132.835	159.024	48.699	44.324	113.227	94.842	49.318	40.103	85.2965
YBL025W	28.106	30.285	20.173	41.22	139.381	130.898	90.105	75.567	69.466875
YBL026W	219.473	317.276	224.595	293.026	378.865	294.831	318.409	237.62	285.51187500000003
YBL028C	359.163	335.939	94.219	62.222	838.411	609.237	220.217	106.849	328.28212500000006
YBL029C-A	51.296	27.637	150.219	160.549	98.439	85.584	195.022	143.716	114.05774999999998
YBL029W	6.757	8.961	2.238	14.277	17.637	20.932	18.525	16.716	13.255375
YBL030C	400.98	472.44	598.975	739.112	101.314	90.969	142.263	199.688	343.217625
YBL031W	19.071	12.454	14.933	14.912	20.963	20.78	26.319	21.891	18.915374999999997
YBL032W	127.215	137.91	124.815	130.232	73.229	74.763	119.857	105.587	111.70100000000001
YBL033C	31.709	26.236	35.358	59.859	70.895	62.438	81.849	87.819	57.020375
YBL034C	9.331	9.007	8.93	8.522	8.795	7.767	8.468	8.336	8.6445
YBL035C	19.722	22.898	16.748	13.411	16.577	15.182	13.201	10.125	15.983
YBL036C	125.972	95.265	114.384	139.602	324.114	259.044	369.655	314.034	217.75874999999996
YBL037W	17.399	12.052	17.291	16.393	16.108	14.116	24.23	26.1	17.961125000000003
YBL038W	68.045	61.102	110.342	133.56	243.781	180.433	211.256	202.335	151.35674999999998
YBL039C	274.834	262.089	14.558	20.26	351.263	345.051	87.02	43.006	174.760125
YBL039W-B	9.707	22.663	55.738	64.64	87.081	77.563	115.325	101.752	66.80862499999999
YBL040C	116.311	97.699	149.876	152.468	459.741	495.284	458.81	490.919	302.63849999999996
YBL041W	253.187	197.426	310.04	355.519	184.574	179.17	386.019	338.208	275.517875
YBL042C	25.737	29.384	25.73	23.719	36.569	58.61	88.577	97.009	48.166875000000005
YBL043W	1.518	0.409	3.268	1.263	5.328	3.638	1.503	2.169	2.387
YBL044W	0.0	0.0	0.0	1.321	7.429	1.522	0.0	3.403	1.709375
YBL045C	132.67	99.379	239.598	225.856	74.617	81.662	108.471	145.596	138.481125
YBL046W	19.511	16.724	25.781	23.993	63.304	66.543	86.05	64.654	45.82
YBL047C	105.198	79.701	146.734	110.256	28.573	23.482	41.043	44.645	72.454
YBL049W	2.811	0.0	6.053	2.34	8.223	3.369	13.915	19.085	6.9745
YBL050W	101.79	118.886	207.415	260.447	238.219	200.447	350.361	354.966	229.066375
YBL051C	75.332	53.064	87.102	61.243	21.609	21.22	27.86	29.749	47.147375
YBL052C	4.715	6.732	6.599	6.476	55.446	45.887	60.684	55.264	30.225375
YBL054W	24.972	25.703	0.803	1.551	68.908	50.569	6.642	4.262	22.92625
YBL055C	18.242	14.112	17.122	19.857	78.814	109.209	75.947	64.52	49.727875
YBL056W	73.14	80.163	146.692	184.733	268.001	258.284	505.654	554.405	258.884
YBL057C	45.509	61.297	68.595	68.944	216.202	196.801	203.656	183.445	130.55612499999998
YBL058W	183.506	168.35	287.645	296.266	169.294	165.542	275.499	329.371	234.434125
YBL059C-A	84.664	106.434	121.536	202.025	239.966	137.106	219.802	208.424	164.99462499999998
YBL059W	14.592	20.216	22.443	39.041	45.125	30.482	53.66	37.991	32.94375
YBL060W	6.841	5.068	9.206	8.304	46.694	46.053	32.171	25.872	22.526125
YBL061C	30.949	22.89	18.781	19.907	82.636	91.457	78.555	59.523	50.587250000000004
